timestamp,open,high,low,close
2010-07-28,260.44,261.94,259.18,260.9
2010-07-29,262.27,265.24,262.07,264.69
2010-07-30,265.54,269.66,264.21,269.57
2010-08-02,272.35,274.48,271.22,272.28
2010-08-03,271.58,272.8,271.1,271.74
2010-08-04,273.5,275.37,272.94,275.12
2010-08-05,277.41,278.03,273.88,274.81
2010-08-06,274.92,276.06,270.98,271.72
2010-08-09,273.03,273.32,270.68,271.07
2010-08-10,268.04,270.02,267.01,268.36
2010-08-11,267.21,267.55,264.78,265.68
2010-08-12,265.72,268.42,265.52,266.65
2010-08-13,267.32,267.71,266.02,266.6
2010-08-16,267.03,267.95,265.01,265.16
2010-08-17,267.2,268.39,266.37,267.09
2010-08-18,266.05,267.39,264.21,266.93
2010-08-19,268.22,268.52,264.75,265.32
2010-08-20,263.42,264.35,262.88,263.85
2010-08-23,264.74,264.93,262.49,263.05
2010-08-24,259.87,260.55,258.68,259.74
2010-08-25,259.36,259.42,257.63,258.61
2010-08-26,260.76,262.25,260.45,261.38
2010-08-27,261.88,264.92,260.98,264.26
2010-08-30,264.73,266.24,264.62,265.42
2010-08-31,263.96,265.95,262.63,262.71
2010-09-01,264.74,267,264.27,266.02
2010-09-02,266.15,268.32,266.03,268.22
2010-09-03,268.61,271.2,267.7,271.1
2010-09-07,268.83,272.34,268.41,271.95
2010-09-08,272.03,273.28,271.43,271.98
2010-09-09,270.62,272.15,270.36,271.24
2010-09-10,272.26,273.73,271.24,272.37
2010-09-13,274.13,276.39,273.85,274.85
2010-09-14,274.89,277.5,274.56,277.08
2010-09-15,276.7,276.78,275.45,276.38
2010-09-16,276.77,277.24,274.39,276.06
2010-09-17,279.25,279.27,276.35,278
2010-09-20,279.87,280.1,277.39,277.57
2010-09-21,277.42,278.24,275.42,275.67
2010-09-22,277.9,279.37,276.22,277.23
2010-09-23,276.75,278.96,276.18,278.28
2010-09-24,279.5,282.22,279.24,281.64
2010-09-27,282.24,282.43,279.46,280.82
2010-09-28,279.36,282.28,279.17,280.55
2010-09-29,278.85,281.73,277.75,281.58
2010-09-30,282.43,282.6,277.95,281.79
2010-10-01,282.17,282.9,278.93,279.46
2010-10-04,277.65,278.98,277.19,278.13
2010-10-05,280.06,283.51,279.48,283.17
2010-10-06,283.7,285.17,283.18,284.08
2010-10-07,285.89,286.47,280.7,280.99
2010-10-08,280.65,290.13,280.62,290.03
2010-10-11,291.96,294.09,289.4,291.46
2010-10-12,291.25,294.23,290.45,293.33
2010-10-13,295.97,296.55,294.33,294.94
2010-10-14,296.38,297.18,294.74,295.12
2010-10-15,295.63,296.88,292.23,292.61
2010-10-18,291.22,294.22,291.02,293.69
2010-10-19,291.2,291.23,287.92,288.18
2010-10-20,290.48,294.12,289.06,293.87
2010-10-21,295.24,295.38,289.52,290.19
2010-10-22,291.34,291.93,290.04,290.93
2010-10-25,295.06,295.73,292.41,293.8
2010-10-26,293.09,295.78,292.56,295.44
2010-10-27,292.85,293.46,291.01,293.31
2010-10-28,295.08,295.78,293.86,295.01
2010-10-29,294.04,296.1,293.66,295.83
2010-11-01,298.52,299.61,295.3,295.85
2010-11-02,298.28,299.02,297.4,298.11
2010-11-03,300.07,300.2,294.96,297.63
2010-11-04,302.06,305.82,301.99,305.65
2010-11-05,306.51,307.83,305.6,307.77
2010-11-08,307.36,309.59,307.08,308.95
2010-11-09,313.08,317.07,311.84,313.12
2010-11-10,311,312.23,308.41,309.73
2010-11-11,311.11,311.6,308.26,308.83
2010-11-12,303.68,304.12,296.32,296.9
2010-11-15,297.5,300.09,296.79,299.05
2010-11-16,295.07,295.25,287.04,287.56
2010-11-17,286.79,290.47,286.4,287.51
2010-11-18,292.8,294.74,291.65,294.42
2010-11-19,292.79,293.52,290.68,291.49
2010-11-22,292.04,292.04,288.62,291.29
2010-11-23,288.09,292.16,287.51,291.56
2010-11-24,293.05,295.76,292.41,295.5
2010-11-26,293.36,294.7,292.46,293.99
2010-11-29,295.28,296.04,293.75,294.75
2010-11-30,294.55,296.24,293.76,294.78
2010-12-01,299.33,303.14,298.74,302.8
2010-12-02,303.92,305.68,302.77,305.01
2010-12-03,306.42,309.08,305.44,309.01
2010-12-06,309.32,310.8,308.58,309.82
2010-12-07,313.76,314.88,307.82,308.53
2010-12-08,306.18,310.12,305.64,309.81
2010-12-09,309.67,310.6,308.54,309.12
2010-12-10,310.44,310.93,306.87,308.23
2010-12-13,311.98,313.45,311.77,313.4
2010-12-14,314.19,314.27,311.96,312.35
2010-12-15,310.64,312.94,309.67,310.63
2010-12-16,310.08,310.36,307.7,308.42
2010-12-17,308.17,312.13,307.99,311.79
2010-12-20,313.96,315.37,312.11,315.37
2010-12-21,316.1,317.93,315.84,317.15
2010-12-22,317.27,318.89,316.71,318.81
2010-12-23,317.31,319.44,316.77,319.24
2010-12-27,318.37,319.84,317.54,319.58
2010-12-28,320.92,323.09,320.8,322.65
2010-12-29,322.54,323.6,322.27,322.79
2010-12-30,323.32,323.37,319.3,320.85
2010-12-31,323.08,326.64,322.68,326.29
2011-01-03,328.48,328.89,326.27,326.4
2011-01-04,326.81,327.03,319.83,321.51
2011-01-05,318.14,323.56,317.94,322.95
2011-01-06,323.09,323.74,319.12,319.3
2011-01-07,317.05,320.25,316.17,317.19
2011-01-10,317.5,319.8,316.86,318.9
2011-01-11,321.48,323,320.42,322.24
2011-01-12,323.82,328.46,323.44,326.74
2011-01-13,326.65,327.07,324.99,325.27
2011-01-14,323.04,325.09,322.4,324.86
2011-01-18,326.38,327.08,324.7,325.68
2011-01-19,328.33,328.59,324.66,325.18
2011-01-20,322.58,323.86,319.22,323.45
2011-01-21,324.44,326.24,323.83,325.35
2011-01-24,326.61,326.91,322.73,323.27
2011-01-25,318.83,319.5,317.28,317.73
2011-01-26,319.4,322.9,318.47,322.49
2011-01-27,323.05,323.57,319.97,320.43
2011-01-28,320.6,325.29,320.57,324.11
2011-01-31,325.87,329.74,325.16,329.56
2011-02-01,329.01,331.42,328.85,330.73
2011-02-02,331.46,333.06,330.37,332.25
2011-02-03,332.61,333.2,329.23,330.08
2011-02-04,330.5,331.99,328.18,329.52
2011-02-07,330.72,330.83,326.95,327.08
2011-02-08,325.28,328.67,325.24,327.33
2011-02-09,327.47,331.21,327.3,329.18
2011-02-10,328.13,330.25,327.93,328.09
